Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,0,0,1,4,2,6,7,1,7,4,5 
Anguilla,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0 
Antigua and Barbuda,,0,0,0,,,0,1,0,0,0,0,0,0,0,0 
Argentina,,3,2,1,2,0,2,2,3,3,4,2,3,4,0,5 
Armenia,2,1,2,0,2,3,1,1,,1,,,,,, 
Aruba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Australia,,14,9,10,10,4,5,2,3,8,,10,6,6,8,8 
Austria,,2,0,0,0,3,0,1,2,1,2,1,1,1,1,2 
Azerbaijan,,,,,,,,,0,,,1,1,3,5, 
Bahamas,,,0,0,0,0,0,0,0,0,1,1,0,1,0,1 
Bahrain,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Barbados,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Belarus,,5,4,,6,7,14,7,12,,,,12,12,, 
Belgium,,,1,1,4,1,4,3,2,4,5,3,1,4,0,1 
Belize,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0 
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Bolivia,,,,,,,,,,,,,0,0,0,1 
Bosnia and Herzegovina,,1,,,0,,,,,,,,,,, 
Brazil,,157,143,139,150,125,125,123,118,145,112,119,120,115,129,133 
British Virgin Islands,,,,,,0,0,0,,0,,0,0,0,0,0 
Brunei Darussalam,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0 
Bulgaria,,,0,3,6,6,3,1,1,2,6,0,1,1,0,1 
Canada,,,,11,13,11,8,9,7,10,6,8,8,8,10,7 
Cabo Verde,,,,,0,,,,,,,,,,, 
Cayman Islands,,,0,,,0,0,0,0,0,0,0,0,0,0,0 
Chile,,1,1,1,2,1,2,0,6,9,4,9,2,4,7,11 
Colombia,,,10,8,13,8,5,4,5,3,3,3,5,3,12,11 
Costa Rica,,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1 
Croatia,3,4,1,3,0,0,3,0,1,2,2,2,0,0,1,1 
Cuba,,15,10,4,8,13,11,10,13,10,18,12,10,13,17,11 
Cyprus,,,0,0,0,0,0,0,0,0,0,0,,,,0 
Czech Republic,4,3,3,2,1,0,1,1,2,1,1,0,0,0,0,0 
Denmark,,2,1,2,0,1,2,3,2,0,2,2,5,2,5,3 
Dominica,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0 
Dominican Republic,,,,0,0,0,2,1,0,0,0,0,0,0,2,3 
Ecuador,,1,0,0,5,2,4,1,0,1,2,2,1,5,2,5 
Egypt,,22,28,15,22,8,18,18,13,16,16,22,13,27,20,14 
El Salvador,,,0,2,0,0,0,0,0,1,0,1,0,2,1,0 
Estonia,,0,1,0,2,0,2,2,0,1,2,2,0,2,2,1 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, 
Fiji,,,,0,0,,0,0,0,0,0,0,1,0,0, 
Finland,,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0 
France,,,16,28,22,25,20,22,23,23,16,32,24,12,26,23 
French Guiana,,,0,0,0,0,0,1,0,0,0,0,0,2,0, 
Georgia,,0,2,2,0,0,0,,0,0,0,0,,,1,0 
Germany,,21,29,22,22,14,8,7,15,11,9,11,15,7,10,10 
Greece,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Grenada,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, 
Guadeloupe,,,1,0,0,0,0,0,0,0,0,0,1,0,3,0 
Guatemala,,1,1,1,0,3,1,3,4,4,2,6,12,3,8,6 
Guyana,,,,1,0,0,1,2,0,1,0,0,0,1,0, 
Haiti,,,,,,,,,,,,0,0,1,0, 
Honduras,,,0,2,0,0,0,0,,,,,,,, 
Hong Kong SAR,,,0,0,0,0,2,1,1,2,0,1,0,2,0,0 
Hungary,,6,12,8,11,5,11,7,16,11,3,4,7,5,5,10 
Iceland,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0 
Iraq,,,,,,,,1,,,,,,,, 
Ireland,,,0,0,0,0,0,0,1,0,1,1,1,0,0,0 
Israel,,2,4,3,1,2,2,1,3,2,1,2,1,1,3,1 
Italy,,,,25,19,21,33,28,24,25,,,19,17,18,11 
Jamaica,,,,,0,0,0,,,2,0,2,0,0,0,2 
