Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,2,3,4,3,17,11,17,13,8,15,4 
Anguilla,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0 
Antigua and Barbuda,,0,0,0,,,0,0,0,0,0,0,0,0,0,0 
Argentina,,1,0,4,2,0,3,0,1,0,0,2,0,1,0,0 
Armenia,0,0,0,0,0,0,2,0,,0,,,,,, 
Aruba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Australia,,11,4,9,8,3,5,11,3,5,,9,7,2,4,1 
Austria,,1,2,0,0,1,1,0,1,0,1,0,0,1,1,0 
Azerbaijan,,,,,,,,,3,,,0,1,6,4, 
Bahamas,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0 
Bahrain,,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0 
Barbados,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0 
Belarus,,0,1,,0,1,1,0,1,,,,0,1,, 
Belgium,,,4,3,0,1,3,0,0,1,0,3,1,1,2,1 
Belize,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Bolivia,,,,,,,,,,,,,0,2,0,0 
Bosnia and Herzegovina,,5,,,0,,,,,,,,,,, 
Brazil,,18,15,38,23,31,23,39,26,28,13,21,21,11,12,10 
British Virgin Islands,,,,,,0,0,0,,0,,0,0,0,0,0 
Brunei Darussalam,,1,0,1,0,0,0,0,0,0,0,0,0,0,0, 
Bulgaria,,,2,4,6,2,7,0,3,6,4,0,0,0,0,0 
Canada,,,,4,3,6,4,6,6,1,4,4,4,1,9,8 
Cabo Verde,,,,,0,,,,,,,,,,, 
Cayman Islands,,,0,,,0,0,0,0,0,0,0,0,0,0,0 
Chile,,4,2,0,0,0,0,0,0,1,1,4,4,0,0,3 
Colombia,,,3,2,0,0,0,4,0,1,0,0,2,1,2,2 
Costa Rica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Cuba,,27,29,22,28,27,21,27,10,21,19,9,9,7,8,10 
Cyprus,,,0,1,0,0,0,0,0,0,0,0,,,,0 
Czech Republic,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0 
Denmark,,0,1,0,5,0,1,2,0,0,1,0,0,1,1,2 
Dominica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Dominican Republic,,,,1,0,0,0,0,0,0,0,0,0,5,1,1 
Ecuador,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Egypt,,23,35,55,83,67,31,42,24,36,84,72,71,171,301,183 
El Salvador,,,0,0,3,0,0,0,0,0,0,0,0,0,0,0 
Estonia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, 
Fiji,,,,1,0,,0,0,0,1,0,0,0,0,1, 
Finland,,0,0,0,0,0,1,0,1,1,2,1,1,0,1,0 
France,,,39,33,47,7,8,9,10,3,4,4,2,4,5,3 
French Guiana,,,0,1,0,0,0,0,0,0,0,0,0,0,0, 
Georgia,,6,3,2,0,0,0,,0,0,0,0,,,0,0 
Germany,,9,9,7,3,4,2,4,4,6,1,3,3,1,12,3 
Greece,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0 
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Guadeloupe,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0 
Guatemala,,0,0,0,0,0,0,2,1,0,0,5,7,15,15,16 
Guyana,,,,0,0,0,1,0,0,0,0,0,0,0,0, 
Haiti,,,,,,,,,,,,4,0,0,0, 
Honduras,,,0,0,0,1,0,1,,,,,,,, 
Hong Kong SAR,,,1,0,1,0,1,1,2,0,1,0,0,1,0,0 
Hungary,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Iraq,,,,,,,,47,,,,,,,, 
Ireland,,,0,0,0,1,0,1,0,3,0,3,3,1,2,0 
Israel,,2,2,3,0,0,2,4,3,3,2,2,2,4,0,4 
Italy,,,,44,35,35,48,29,28,40,,,67,21,26,39 
Jamaica,,,,,0,1,3,,,0,1,0,0,1,0,1 
Japan,,3,5,2,13,5,6,10,5,9,3,1,8,7,8,12 
Jordan,,,,0,0,0,0,0,,,,,,,, 
Kazakhstan,2,1,14,2,0,1,1,3,1,1,3,3,,,, 
Kiribati,,,,,,,,,,,,,,,0,0 
Kuwait,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Latvia,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 
Lithuania,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0 
Luxembourg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Macau,,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,2,2,1,2,5,1,0,1,0 
Maldives,,,,,0,0,,0,0,,0,0,0,0,0,186 
Malta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
